Acidity,Aftertaste,Aroma,Balance,Body,Category One Defects,Category Two Defects,Clean Cup,Color,Country of Origin,Flavor,Grading Date,Harvest Year,Moisture Percentage,Processing Method,Quakers,Region,Sweetness,Uniformity,Variety,altitud_limpia,dataset_source,quality_label
8.5,8.08,8.0,8.0,8.25,0,0,10.0,,United States,8.25,"March 13th, 2015",2014,0.0,Washed / Wet,0.0,antioquia,10.0,10.0,Other,2019.0,2018_volpatto,Specialty
8.17,8.0,8.08,8.33,8.0,0,2,10.0,Green,Costa Rica,8.25,"April 2nd, 2014",2014,0.11,Washed / Wet,0.0,san ramon,10.0,10.0,Caturra,1300.0,2018_volpatto,Specialty
8.0,8.17,8.17,8.17,7.83,0,0,10.0,Green,Mexico,8.25,"July 26th, 2012",2012,0.13,Washed / Wet,0.0,xalapa,10.0,10.0,Other,1320.0,2018_volpatto,Specialty
8.17,8.17,8.25,8.17,7.83,0,0,10.0,,United States,8.33,"March 13th, 2015",2014,0.0,Washed / Wet,0.0,antioquia,10.0,10.0,Other,2112.0,2018_volpatto,Specialty
8.17,7.92,8.42,8.0,8.33,0,1,10.0,Bluish-Green,Ethiopia,8.17,"September 3rd, 2013",2013,0.11,Natural / Dry,0.0,sidamo,10.0,10.0,,,2018_volpatto,Specialty
8.0,8.0,8.5,8.0,8.0,0,2,10.0,Green,Brazil,8.5,"December 3rd, 2011",2011,0.12,Natural / Dry,0.0,south of minas,10.0,10.0,Bourbon,1250.0,2018_volpatto,Specialty
8.17,8.08,7.83,8.17,8.17,0,2,10.0,,Ethiopia,8.25,"June 16th, 2010",2009/2010,0.05,,0.0,sidamo,10.0,10.0,,,2018_volpatto,Specialty
8.17,8.17,8.42,7.92,7.83,0,1,10.0,Green,Uganda,8.17,"June 26th, 2014",2013,0.12,Washed / Wet,0.0,kapchorwa eastern,10.0,10.0,Sl14,1950.0,2018_volpatto,Specialty
8.0,8.08,8.17,8.0,8.08,0,3,10.0,Green,Honduras,8.08,"May 18th, 2017",2016,0.1,,0.0,comayagua,10.0,10.0,Caturra,1400.0,2018_volpatto,Specialty
8.25,8.0,8.0,8.17,8.0,0,0,10.0,Green,Taiwan,8.0,"May 18th, 2016",2015,0.0,Pulped Natural / Honey,0.0,"leye, alishan township, chiayi county",10.0,10.0,Sumatra,1200.0,2018_volpatto,Specialty
8.33,8.0,7.92,8.08,8.0,0,2,10.0,,Nicaragua,8.25,"May 18th, 2010",,0.08,,0.0,,10.0,10.0,,,2018_volpatto,Specialty
8.0,8.17,8.42,8.0,7.58,0,1,10.0,Bluish-Green,"Tanzania, United Republic Of",8.17,"September 3rd, 2013",2012,0.11,Natural / Dry,0.0,,10.0,10.0,,,2018_volpatto,Specialty
7.75,8.0,8.5,8.0,8.0,0,2,10.0,Green,Brazil,8.17,"December 3rd, 2011",2011,0.12,Natural / Dry,0.0,vale da grama,10.0,10.0,Bourbon,1300.0,2018_volpatto,Specialty
8.08,8.0,8.17,8.0,7.83,0,0,10.0,Blue-Green,Costa Rica,7.83,"December 3rd, 2015",2015/2016,0.0,Washed / Wet,0.0,west and central valley,10.0,10.0,Caturra,1300.0,2018_volpatto,Specialty
8.0,7.92,8.0,8.08,8.08,0,3,10.0,Green,Ethiopia,8.08,"March 27th, 2015",2014,0.1,Natural / Dry,0.0,oromia,10.0,10.0,,1775.0,2018_volpatto,Specialty
8.25,8.0,8.08,7.92,7.92,0,1,10.0,Blue-Green,Kenya,8.0,"May 30th, 2014",2013,0.12,Washed / Wet,0.0,muranga,10.0,10.0,Sl34,1800.0,2018_volpatto,Specialty
7.92,8.0,8.08,7.83,7.92,1,4,10.0,,United States (Hawaii),8.17,"April 6th, 2012",2012,0.0,Natural / Dry,0.0,kona,10.0,10.0,Hawaiian Kona,,2018_volpatto,Specialty
7.75,8.08,8.25,7.83,7.67,2,1,10.0,,United States (Hawaii),8.42,"January 28th, 2011",2010,0.0,,0.0,kona,10.0,10.0,,,2018_volpatto,Specialty
8.08,8.08,7.92,8.17,8.08,0,2,10.0,,Ethiopia,7.75,"June 17th, 2010",2009/2010,0.1,,0.0,yirgacheffe,10.0,10.0,,,2018_volpatto,Specialty
8.0,8.0,7.67,8.08,8.17,0,0,10.0,,United States,8.17,"March 13th, 2015",2014,0.0,Washed / Wet,0.0,antioquia,10.0,10.0,Other,1941.0,2018_volpatto,Specialty
8.25,7.83,7.83,7.92,7.58,1,9,10.0,Green,Thailand,8.33,"April 12th, 2012",2012,0.1,Washed / Wet,0.0,chiang rai,10.0,10.0,Caturra,1300.0,2018_volpatto,Specialty
7.75,7.92,8.17,8.0,8.33,0,2,10.0,,Brazil,7.92,"January 4th, 2011",2010,0.08,,0.0,sul de minas - carmo de minas,10.0,10.0,Yellow Bourbon,,2018_volpatto,Specialty
7.75,8.0,8.42,8.0,7.92,0,3,10.0,,Brazil,7.92,"January 4th, 2011",2010,0.01,,0.0,sul de minas - carmo de minas,10.0,10.0,Yellow Bourbon,,2018_volpatto,Specialty
8.08,7.75,8.08,7.83,7.75,0,0,10.0,Green,Taiwan,8.17,"June 10th, 2015",2015,0.12,Semi-Washed / Semi-Pulped,0.0,natou county,10.0,10.0,Bourbon,1000.0,2018_volpatto,Specialty
8.0,8.0,8.08,8.08,7.83,0,2,10.0,Bluish-Green,Kenya,8.08,"January 29th, 2015",2014,0.11,Natural / Dry,0.0,nyeri,10.0,10.0,Sl28,1754.0,2018_volpatto,Specialty
8.0,8.0,8.33,8.0,7.75,0,2,10.0,Blue-Green,Brazil,8.0,"December 3rd, 2011",2011,0.11,Semi-Washed / Semi-Pulped,0.0,south of minas,10.0,10.0,Bourbon,1250.0,2018_volpatto,Specialty
7.92,7.83,8.08,7.92,8.08,0,0,10.0,,Uganda,8.08,"October 1st, 2014",2014,0.0,Semi-Washed / Semi-Pulped,0.0,eastern uganda,10.0,10.0,,,2018_volpatto,Specialty
8.08,7.83,7.75,8.17,8.08,1,1,10.0,Green,Colombia,7.92,"March 20th, 2014",2013,0.12,Washed / Wet,0.0,tolima,10.0,10.0,Caturra,1200.0,2018_volpatto,Specialty
8.5,7.83,7.92,7.92,7.5,0,1,10.0,Green,Kenya,8.17,"February 6th, 2014",2013,0.11,Washed / Wet,0.0,kiambu,10.0,10.0,Sl28,1860.0,2018_volpatto,Specialty
8.08,7.83,8.25,7.92,8.0,0,0,10.0,Blue-Green,Uganda,8.0,"February 13th, 2012",2012,0.1,Washed / Wet,0.0,"sipi, mt elgon",10.0,10.0,Other,1650.0,2018_volpatto,Specialty
8.25,8.0,7.75,8.0,8.0,0,4,10.0,,Ethiopia,8.08,"June 17th, 2010",2009/2010,0.01,,0.0,sidamo,10.0,10.0,,1750.0,2018_volpatto,Specialty
8.0,7.75,8.33,7.83,7.75,0,0,10.0,,United States (Hawaii),8.17,"May 31st, 2010",Fall 2009,0.0,,0.0,kona,10.0,10.0,,426.72,2018_volpatto,Specialty
8.08,7.92,7.92,7.83,8.08,0,3,10.0,Green,Guatemala,8.08,"May 16th, 2016",2016,0.1,Washed / Wet,1.0,nuevo oriente,10.0,10.0,Bourbon,,2018_volpatto,Specialty
8.08,7.92,8.17,7.75,7.83,0,0,10.0,Green,Uganda,8.17,"June 30th, 2014",2013,0.12,Natural / Dry,0.0,eastern,10.0,10.0,Sl14,1650.0,2018_volpatto,Specialty
8.17,8.0,8.0,8.0,7.83,1,0,10.0,Blue-Green,Colombia,8.0,"July 26th, 2013",2013,0.0,Washed / Wet,0.0,huila,10.0,10.0,Caturra,1800.0,2018_volpatto,Specialty
8.08,7.92,8.0,8.0,7.83,0,0,10.0,Bluish-Green,Panama,8.0,"October 9th, 2017",2017,0.08,Washed / Wet,1.0,boquete,10.0,10.0,Gesha,1600.0,2018_volpatto,Specialty
8.08,7.92,7.83,7.92,8.0,0,4,10.0,Green,Ethiopia,8.08,"April 4th, 2015",2014,0.1,Washed / Wet,0.0,oromia,10.0,10.0,,1900.0,2018_volpatto,Specialty
8.17,8.0,7.83,8.0,7.83,0,3,10.0,Green,Guatemala,8.0,"July 3rd, 2012",2012,0.12,Washed / Wet,0.0,acatenango,10.0,10.0,Bourbon,1524.0,2018_volpatto,Specialty
8.33,7.83,8.0,7.83,7.83,0,1,10.0,Bluish-Green,Guatemala,8.0,"June 5th, 2012",2012,0.1,Washed / Wet,0.0,nuevo oriente,10.0,10.0,Catuai,1417.32,2018_volpatto,Specialty
8.17,7.83,7.83,8.0,7.92,0,7,10.0,,Ethiopia,8.0,"June 23rd, 2017",2017,0.09,Natural / Dry,4.0,addis ababa,10.0,10.0,Caturra,,2018_volpatto,Specialty
8.08,8.0,8.0,7.75,7.92,4,6,10.0,Green,Peru,8.0,"January 22nd, 2014",2013,0.1,Washed / Wet,0.0,cajamarca,10.0,10.0,,,2018_volpatto,Specialty
8.33,7.83,8.33,8.25,8.0,0,1,9.33,Bluish-Green,Papua New Guinea,8.42,"October 25th, 2012",2012,0.12,Washed / Wet,0.0,eastern highlands province,10.0,9.33,,1700.0,2018_volpatto,Specialty
7.92,8.0,7.92,7.83,7.75,0,3,10.0,Blue-Green,El Salvador,8.17,"March 18th, 2013",2013,0.1,Washed / Wet,0.0,apaneca,10.0,10.0,Bourbon,1500.0,2018_volpatto,Specialty
7.75,8.0,7.83,8.17,7.92,0,0,10.0,,El Salvador,8.0,"January 12th, 2013",2012,0.11,Semi-Washed / Semi-Pulped,0.0,"ataco, apaneca - ilamatepec mountain range",10.0,10.0,Bourbon,1350.0,2018_volpatto,Specialty
7.75,7.92,7.83,8.0,8.08,0,1,10.0,,United States (Hawaii),8.0,"April 6th, 2012",2012,0.0,Natural / Dry,0.0,kona,10.0,10.0,Hawaiian Kona,,2018_volpatto,Specialty
7.83,7.83,8.0,8.58,7.67,2,2,10.0,,Panama,7.75,"May 23rd, 2015",2014,0.09,Natural / Dry,0.0,boquete,10.0,10.0,Caturra,1680.0,2018_volpatto,Specialty
8.08,7.83,7.92,7.92,7.83,0,3,10.0,Green,Kenya,7.92,"May 23rd, 2015",2014,0.1,Natural / Dry,0.0,kirinyaga,10.0,10.0,Sl28,1900.0,2018_volpatto,Specialty
7.92,7.83,7.83,8.08,7.83,0,7,10.0,Green,Ethiopia,8.0,"March 31st, 2015",2015,0.12,Natural / Dry,0.0,oromia,10.0,10.0,Other,1900.0,2018_volpatto,Specialty
7.92,7.67,8.33,7.92,7.67,0,1,10.0,Green,Uganda,7.92,"June 26th, 2014",2013,0.12,Washed / Wet,0.0,bulambuli eastern region,10.0,10.0,Sl14,1600.0,2018_volpatto,Specialty
8.33,7.67,8.0,8.0,7.83,0,1,10.0,Green,Guatemala,7.83,"February 26th, 2013",2013,0.11,Washed / Wet,0.0,huehuetenango,10.0,10.0,Bourbon,1731.264,2018_volpatto,Specialty
8.17,7.83,7.75,7.83,7.92,0,18,10.0,Green,Ethiopia,7.83,"March 31st, 2015",2015,0.1,Washed / Wet,0.0,oromia,10.0,10.0,,1900.0,2018_volpatto,Specialty
7.67,7.83,8.08,7.83,8.0,0,5,10.0,Green,Uganda,8.0,"June 26th, 2014",2013,0.12,Washed / Wet,0.0,kapchorwa,10.0,10.0,Sl14,1950.0,2018_volpatto,Specialty
7.92,7.75,7.92,7.92,7.75,4,6,10.0,,United States (Hawaii),7.92,"April 6th, 2012",2012,0.0,Natural / Dry,0.0,kona,10.0,10.0,Hawaiian Kona,,2018_volpatto,Specialty
7.67,8.0,8.0,8.0,7.75,0,1,10.0,Blue-Green,Brazil,8.0,"December 3rd, 2011",2011,0.11,Semi-Washed / Semi-Pulped,0.0,south of minas,10.0,10.0,Bourbon,1250.0,2018_volpatto,Specialty
8.08,7.83,8.08,7.83,7.83,0,0,10.0,,El Salvador,7.83,"May 31st, 2010",2009 / 2010,0.01,,0.0,apaneca,10.0,10.0,,1400.0,2018_volpatto,Specialty
7.83,8.0,8.0,7.75,7.83,0,0,10.0,Green,China,8.0,"April 6th, 2016",2015,0.1,Natural / Dry,0.0,yunnan,10.0,10.0,Catimor,1700.0,2018_volpatto,Specialty
7.67,7.83,7.83,8.58,7.83,0,1,10.0,Green,Guatemala,7.75,"May 23rd, 2015",2014,0.11,Natural / Dry,0.0,huehuetenango,10.0,10.0,Pacamara,1770.0,2018_volpatto,Specialty
7.92,8.0,7.92,8.08,8.0,0,0,10.0,Bluish-Green,Costa Rica,8.08,"May 1st, 2014",2014,0.0,Washed / Wet,0.0,west valley,9.33,10.0,Caturra,1300.0,2018_volpatto,Specialty
7.67,7.58,8.0,8.5,8.08,0,2,10.0,Bluish-Green,Costa Rica,7.58,"May 1st, 2014",2014,0.1,Washed / Wet,0.0,san ramon,10.0,10.0,Caturra,1300.0,2018_volpatto,Specialty
8.08,7.75,7.83,7.75,7.92,0,2,10.0,Green,Kenya,8.08,"April 19th, 2013",2012,0.0,Washed / Wet,0.0,central kenya,10.0,10.0,Sl34,1600.0,2018_volpatto,Specialty
8.08,7.92,8.0,7.75,7.83,0,6,10.0,Green,Kenya,7.92,"March 12th, 2013",2012,0.0,Washed / Wet,0.0,central kenya,10.0,10.0,Sl34,1200.0,2018_volpatto,Specialty
8.08,7.92,7.83,7.83,7.75,0,2,10.0,,Ethiopia,7.83,"June 17th, 2010",2009/2010,0.05,,0.0,yirgacheffe,10.0,10.0,,,2018_volpatto,Specialty
8.33,7.75,7.92,7.75,7.75,0,3,10.0,,Ethiopia,7.83,"June 17th, 2010",2009/2010,0.1,,0.0,yirgacheffe,10.0,10.0,Typica,,2018_volpatto,Specialty
8.0,7.75,8.0,7.83,7.92,0,2,10.0,Green,Guatemala,7.92,"April 27th, 2016",2016,0.1,,2.0,oriente,10.0,10.0,Bourbon,,2018_volpatto,Specialty
8.0,7.83,8.17,7.83,7.58,0,0,10.0,Green,Colombia,7.92,"April 8th, 2015",2015,0.11,Washed / Wet,0.0,santander,10.0,10.0,Caturra,1550.0,2018_volpatto,Specialty
7.83,7.92,7.58,7.92,8.0,0,2,10.0,Green,Colombia,8.08,"January 17th, 2014",2014,0.12,Natural / Dry,0.0,santander,10.0,10.0,Caturra,1550.0,2018_volpatto,Specialty
8.0,7.67,7.75,7.83,8.08,0,3,10.0,Green,Indonesia,7.83,"November 26th, 2012",2012,0.11,Semi-Washed / Semi-Pulped,0.0,lintong,10.0,10.0,Sumatra Lintong,1325.0,2018_volpatto,Specialty
7.92,7.67,8.25,7.67,7.75,0,7,10.0,,Guatemala,8.0,"January 18th, 2012",2012,0.0,Washed / Wet,0.0,huehuetenango,10.0,10.0,Caturra,1400.0,2018_volpatto,Specialty
8.0,7.58,7.75,7.92,8.0,0,8,10.0,Green,Ethiopia,8.0,"August 9th, 2016",2016,0.11,Natural / Dry,1.0,"kefa zone, gimbo distict, at a place called woka araba, south west ethiopia.",10.0,10.0,Other,,2018_volpatto,Specialty
8.08,7.58,8.17,7.75,8.0,0,0,10.0,,Colombia,7.83,"August 18th, 2015",2015,0.0,Natural / Dry,0.0,pasto,10.0,10.0,Caturra,2560.0,2018_volpatto,Specialty
8.0,7.42,8.42,7.92,7.92,2,7,10.0,Green,Ethiopia,8.0,"October 7th, 2014",2014,0.1,Natural / Dry,0.0,aricha,10.0,9.33,,1700.0,2018_volpatto,Specialty
7.92,7.83,7.58,8.17,7.83,2,2,10.0,Bluish-Green,United States (Hawaii),7.83,"March 10th, 2014",2014,0.11,Natural / Dry,0.0,kona,10.0,10.0,Hawaiian Kona,,2018_volpatto,Specialty
7.75,7.75,7.83,7.83,7.83,0,8,10.0,Green,Colombia,8.0,"March 16th, 2012",2012,0.11,Natural / Dry,0.0,cundinamarca,10.0,10.0,Caturra,2136.0,2018_volpatto,Specialty
8.0,7.92,8.08,8.0,8.08,1,7,9.33,,United States (Hawaii),8.17,"December 27th, 2010",2010-2011,0.01,,0.0,kona,10.0,9.33,,,2018_volpatto,Specialty
8.0,7.83,7.67,7.83,7.92,0,5,10.0,,Ethiopia,8.0,"June 17th, 2010",2010,0.0,,0.0,sidamo,10.0,10.0,,,2018_volpatto,Specialty
7.83,8.25,7.5,7.75,7.92,0,0,10.0,,United States (Hawaii),7.92,"May 17th, 2010",,0.0,,0.0,kona,10.0,10.0,,,2018_volpatto,Specialty
7.75,7.75,8.17,7.75,7.67,0,1,10.0,Green,Uganda,7.92,"July 24th, 2017",2016,0.11,Washed / Wet,0.0,eastern uganda,10.0,10.0,Sl14,1800.0,2018_volpatto,Specialty
7.92,7.75,8.0,7.83,7.75,0,3,10.0,Green,Colombia,7.92,"February 15th, 2017",2016,0.0,Washed / Wet,0.0,huila,10.0,10.0,Caturra,,2018_volpatto,Specialty
7.92,7.58,7.83,7.83,7.92,1,1,10.0,Green,Costa Rica,8.0,"January 30th, 2017",2016,0.12,Washed / Wet,1.0,tarrazu,10.0,10.0,Catuai,1900.0,2018_volpatto,Specialty
7.75,7.83,7.83,7.83,7.67,0,3,10.0,Green,Mexico,8.0,"September 21st, 2016",2015,0.09,Washed / Wet,0.0,veracruz,10.0,10.0,Typica,1300.0,2018_volpatto,Specialty
7.75,7.92,8.17,7.83,7.67,0,7,10.0,Green,Kenya,7.83,"May 7th, 2016",2015,0.11,Washed / Wet,5.0,,10.0,10.0,,,2018_volpatto,Specialty
8.08,7.75,7.75,7.75,8.0,0,5,10.0,Green,Kenya,7.83,"April 19th, 2013",2012,0.0,Washed / Wet,0.0,central kenya,10.0,10.0,Sl34,1580.0,2018_volpatto,Specialty
7.83,7.83,8.0,7.67,7.67,0,3,10.0,Green,Brazil,8.0,"February 29th, 2012",2012,0.12,Natural / Dry,0.0,grama valley,10.0,10.0,Mundo Novo,1100.0,2018_volpatto,Specialty
8.08,7.75,7.92,7.83,7.42,0,0,10.0,,Mexico,8.17,"April 6th, 2011",2010-2011,0.0,,0.0,mexico,10.0,10.0,Pacamara,1400.0,2018_volpatto,Specialty
7.75,7.75,7.75,8.0,8.0,0,1,10.0,,United States (Hawaii),7.92,"February 24th, 2011",,0.0,,0.0,kona,10.0,10.0,,,2018_volpatto,Specialty
8.0,7.67,7.83,7.67,7.75,0,1,10.0,,Guatemala,8.08,"September 7th, 2010",2009/2010,0.04,,0.0,"chuva, san marcos",10.0,10.0,,1325.88,2018_volpatto,Specialty
7.83,7.67,7.92,7.83,7.92,1,2,10.0,,Colombia,7.92,"November 25th, 2016",2016,0.0,Washed / Wet,6.0,huila,10.0,10.0,Caturra,,2018_volpatto,Specialty
7.83,7.75,7.92,8.0,7.75,0,1,10.0,Green,Colombia,7.83,"October 26th, 2015",2015,0.12,Washed / Wet,0.0,huila,10.0,10.0,Caturra,1775.0,2018_volpatto,Specialty
7.58,8.0,7.67,7.92,8.0,0,0,10.0,Green,Taiwan,7.83,"June 9th, 2015",2015,0.11,Semi-Washed / Semi-Pulped,0.0,natou county,10.0,10.0,Typica,800.0,2018_volpatto,Specialty
7.92,7.83,8.0,7.75,7.75,0,2,10.0,Green,"Tanzania, United Republic Of",7.83,"December 12th, 2014",2014,0.12,Washed / Wet,0.0,mbeya,10.0,10.0,Other,1620.0,2018_volpatto,Specialty
7.75,7.83,7.75,8.0,7.75,0,3,10.0,Green,Colombia,7.92,"December 11th, 2012",2012,0.11,Washed / Wet,0.0,huila,10.0,10.0,Caturra,1775.0,2018_volpatto,Specialty
7.83,7.75,7.75,7.92,7.5,0,0,10.0,,Mexico,8.0,"July 11th, 2012",2012,0.11,Semi-Washed / Semi-Pulped,0.0,coatepec,10.0,10.0,Typica,1200.0,2018_volpatto,Specialty
7.75,7.75,8.0,7.75,8.0,0,2,10.0,Green,Brazil,7.92,"December 23rd, 2011",2011,0.11,Natural / Dry,0.0,south of minas,10.0,10.0,Bourbon,1200.0,2018_volpatto,Specialty
8.0,7.75,8.0,7.75,7.5,0,2,10.0,Green,Brazil,8.0,"December 3rd, 2011",2011,0.12,Natural / Dry,0.0,south of minas,10.0,10.0,Catuai,1000.0,2018_volpatto,Specialty
8.17,7.83,8.0,7.75,7.92,1,9,10.0,,Kenya,7.67,"August 26th, 2010",2009-2010,0.06,,0.0,,10.0,10.0,,,2018_volpatto,Specialty
7.83,7.83,7.92,7.83,7.83,0,0,10.0,Green,Taiwan,7.58,"May 18th, 2016",2016,0.0,Natural / Dry,0.0,"dongshan dist., tainan city 臺南市東山區",10.0,10.0,Typica,350.0,2018_volpatto,Specialty
7.67,7.67,7.75,7.75,8.25,0,1,10.0,Green,Uganda,7.92,"June 30th, 2014",2013,0.12,Natural / Dry,0.0,eastern,10.0,10.0,Sl14,1650.0,2018_volpatto,Specialty
7.75,7.75,7.67,8.0,7.83,3,15,10.0,,United States (Hawaii),7.75,"April 6th, 2012",2012,0.0,Natural / Dry,0.0,kona,10.0,10.0,Hawaiian Kona,,2018_volpatto,Specialty
7.92,7.83,7.75,7.67,7.75,0,2,10.0,,Ethiopia,7.92,"June 17th, 2010",2009/2010,0.1,,0.0,sidamo,10.0,10.0,,1750.0,2018_volpatto,Specialty
8.0,7.92,7.42,7.83,7.83,0,4,10.0,,Ethiopia,7.92,"June 17th, 2010",2009/2010,0.1,,0.0,sidamo,10.0,10.0,,1750.0,2018_volpatto,Specialty
7.75,7.75,7.75,7.75,8.0,0,0,10.0,Green,Thailand,7.75,"June 27th, 2016",2015,0.12,Pulped Natural / Honey,0.0,thailand,10.0,10.0,Caturra,,2018_volpatto,Specialty
7.92,7.58,7.92,7.83,7.75,0,0,10.0,Green,Kenya,7.83,"June 2nd, 2015",2014,0.13,Washed / Wet,0.0,nyeri,10.0,10.0,Sl34,1800.0,2018_volpatto,Specialty
7.67,8.0,7.83,7.67,7.67,0,4,10.0,Green,Honduras,7.75,"April 25th, 2014",2014,0.11,Washed / Wet,0.0,marcala,10.0,10.0,Catuai,1450.0,2018_volpatto,Specialty
8.33,8.0,7.75,7.92,7.67,0,3,10.0,,El Salvador,8.0,"August 23rd, 2011",2010-2011,0.15,,0.0,santa ana,9.33,10.0,,1200.0,2018_volpatto,Specialty
7.83,7.58,7.83,7.67,7.75,0,2,10.0,,Nicaragua,7.58,"May 31st, 2010",2009 - 2010,0.18,,0.0,jinotega,10.0,10.0,,925.0,2018_volpatto,Specialty
8.0,7.5,7.83,7.67,7.83,0,2,10.0,Blue-Green,El Salvador,7.83,"June 26th, 2017",2016,0.0,Washed / Wet,0.0,apaneca,10.0,10.0,Bourbon,1350.0,2018_volpatto,Specialty
7.75,7.75,7.92,7.75,7.75,0,7,10.0,Green,Indonesia,7.83,"November 24th, 2016",2016,0.12,Washed / Wet,0.0,"temanggung, indonesia",10.0,10.0,Java,1200.0,2018_volpatto,Specialty
7.42,7.75,7.75,7.83,8.08,0,0,10.0,Green,Japan,7.75,"November 2nd, 2016",,0.12,Pulped Natural / Honey,0.0,ada okinawa japan,10.0,10.0,Mundo Novo,170.0,2018_volpatto,Specialty
7.83,7.67,8.08,7.92,7.5,0,2,10.0,Blue-Green,Costa Rica,7.75,"October 4th, 2016",2015,0.1,Washed / Wet,0.0,tarrazu,10.0,10.0,Catuai,1150.0,2018_volpatto,Specialty
8.0,7.58,7.75,7.75,7.92,0,1,10.0,Green,Guatemala,7.83,"June 1st, 2016",2015,0.1,Washed / Wet,0.0,acatenango,10.0,10.0,Bourbon,1600.0,2018_volpatto,Specialty
7.17,7.83,8.17,7.75,7.83,0,0,10.0,Green,Costa Rica,8.0,"July 6th, 2015",2014,0.12,Washed / Wet,0.0,tarrazu,10.0,10.0,Caturra,1750.0,2018_volpatto,Specialty
