Country of Origin,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean Cup,Sweetness,Moisture Percentage,Category One Defects,Quakers,Color,Category Two Defects,is_specialty
Guatemala,7.83,8.0,7.67,7.83,7.75,7.75,10.0,10.0,10.0,10.9,0,3.0,yellow-green,2,1
Costa Rica,7.58,7.83,7.5,7.67,7.83,7.67,10.0,10.0,10.0,10.0,0,1.0,green,2,1
Taiwan,7.83,7.83,7.75,7.75,7.75,7.75,10.0,10.0,10.0,9.6,0,0.0,greenish,0,1
Taiwan,8.17,7.83,7.67,7.83,7.67,7.67,10.0,10.0,10.0,11.5,0,0.0,green,0,1
Nicaragua,7.92,7.75,7.67,7.67,7.83,7.75,10.0,10.0,10.0,9.9,1,0.0,green,2,1
Taiwan,8.08,7.83,7.67,7.67,7.67,7.75,10.0,10.0,10.0,11.2,0,0.0,green,2,1
Taiwan,7.83,8.0,7.67,7.75,7.67,7.75,10.0,10.0,10.0,10.3,0,0.0,green,0,1
Vietnam,8.0,7.83,7.75,7.67,7.58,7.83,10.0,10.0,10.0,11.6,0,0.0,brownish,0,1
Costa Rica,7.75,7.83,7.67,7.83,7.75,7.75,10.0,10.0,10.0,11.7,0,1.0,green,0,1
Taiwan,7.75,7.92,7.83,7.75,7.75,7.75,10.0,10.0,10.0,11.3,0,0.0,bluish-green,0,1
Honduras,7.83,7.92,7.75,7.75,7.75,7.75,10.0,10.0,10.0,9.8,0,0.0,green,3,1
Ethiopia,7.92,7.83,7.75,7.92,7.58,7.67,10.0,10.0,10.0,10.9,0,0.0,green,9,1
Taiwan,8.08,7.92,7.75,7.83,7.5,7.58,10.0,10.0,10.0,10.2,0,0.0,green,0,1
Taiwan,7.83,8.0,7.5,7.75,7.75,7.75,10.0,10.0,10.0,10.1,0,0.0,bluish-green,1,1
Guatemala,7.67,7.83,7.75,7.75,7.83,7.75,10.0,10.0,10.0,9.2,0,1.0,green,5,1
United States (Hawaii),7.92,7.83,7.75,7.92,7.5,7.67,10.0,10.0,10.0,10.1,3,0.0,yellow-green,7,1
Ethiopia,7.83,7.75,7.58,7.92,8.0,7.5,10.0,10.0,10.0,11.0,0,5.0,yellow green,4,1
El Salvador,7.83,7.83,7.83,7.83,7.67,7.67,10.0,10.0,10.0,10.3,0,0.0,brownish,4,1
Colombia,7.75,7.75,7.75,7.75,7.83,7.67,10.0,10.0,10.0,11.6,0,0.0,green,1,1
Indonesia,7.67,7.67,7.83,7.83,7.67,7.75,10.0,10.0,10.0,11.5,0,1.0,blue-green,1,1
Guatemala,7.58,7.92,7.67,7.75,7.83,7.75,10.0,10.0,10.0,10.0,0,0.0,green,1,1
Madagascar,7.92,7.92,7.58,7.75,7.58,7.67,10.0,10.0,10.0,12.1,0,0.0,blue-green,0,1
Honduras,7.75,7.75,7.58,7.83,7.75,7.75,10.0,10.0,10.0,10.2,0,0.0,green,2,1
Guatemala,7.58,7.92,7.58,7.83,7.75,7.67,10.0,10.0,10.0,11.0,0,3.0,green,2,1
Taiwan,7.83,7.92,7.83,7.58,7.58,7.67,10.0,10.0,10.0,10.8,0,0.0,greenish,2,1
Taiwan,7.92,7.75,7.67,7.75,7.75,8.0,9.33,10.0,10.0,10.6,0,0.0,yello-green,0,1
Guatemala,7.67,7.83,7.67,7.83,7.75,7.67,10.0,10.0,10.0,11.0,0,1.0,green,2,1
Guatemala,7.67,7.92,7.67,7.75,7.67,7.58,10.0,10.0,10.0,11.0,0,2.0,green,2,1
Honduras,7.75,7.75,7.75,7.67,7.75,7.67,10.0,10.0,10.0,9.4,0,0.0,green,0,1
"Tanzania, United Republic Of",7.58,7.67,7.75,7.75,7.75,7.75,10.0,10.0,10.0,9.8,0,0.0,greenish,3,1
Ethiopia,8.0,7.75,7.5,7.67,7.67,7.67,10.0,10.0,10.0,11.3,1,1.0,green,1,1
"Tanzania, United Republic Of",7.75,7.58,7.58,7.92,7.67,7.75,10.0,10.0,10.0,11.6,0,0.0,greenish,2,1
Colombia,7.67,7.83,7.58,7.92,7.67,7.67,10.0,10.0,10.0,13.3,0,2.0,green,3,1
Costa Rica,7.67,7.92,7.58,7.75,7.67,7.58,10.0,10.0,10.0,9.5,0,0.0,green,2,1
Guatemala,7.83,7.83,7.58,7.67,7.67,7.58,10.0,10.0,10.0,11.9,0,0.0,greenish,0,1
Guatemala,7.58,7.83,7.58,7.75,7.67,7.75,10.0,10.0,10.0,10.0,0,1.0,green,2,1
Thailand,7.75,7.67,7.58,7.75,7.75,7.67,10.0,10.0,10.0,11.6,0,0.0,yellowish,3,1
Colombia,7.67,7.75,7.67,7.75,7.67,7.67,10.0,10.0,10.0,11.9,0,1.0,green,1,1
Guatemala,7.58,7.83,7.67,7.67,7.67,7.67,10.0,10.0,10.0,10.8,0,0.0,green,4,1
Guatemala,7.58,7.92,7.5,7.67,7.75,7.67,10.0,10.0,10.0,10.9,0,1.0,greenish,4,1
Ethiopia,7.83,7.67,7.5,7.92,7.5,7.67,10.0,10.0,10.0,12.0,0,0.0,green,12,1
Colombia,7.92,7.75,7.42,7.58,7.92,7.67,10.0,10.0,10.0,12.1,2,5.0,green,5,1
United States (Hawaii),7.67,7.92,7.58,7.58,7.58,7.75,10.0,10.0,10.0,11.8,0,3.0,green,3,1
Colombia,7.67,7.92,7.67,7.58,7.67,7.67,10.0,10.0,10.0,10.6,0,0.0,greenish,1,1
Mexico,7.67,7.67,7.58,7.67,7.83,7.58,10.0,10.0,10.0,11.7,4,0.0,green,12,1
Colombia,7.83,7.75,7.5,7.58,7.67,7.67,10.0,10.0,10.0,12.4,1,0.0,greenish,9,1
Taiwan,7.67,7.67,7.75,7.75,7.5,7.67,10.0,10.0,10.0,10.0,0,0.0,bluish-green,0,1
Myanmar,7.83,7.83,7.67,7.58,7.58,7.58,10.0,10.0,10.0,10.2,0,1.0,pale yellow,1,1
Taiwan,7.58,7.75,7.67,7.83,7.5,7.67,10.0,10.0,10.0,9.2,0,0.0,greenish,0,1
Honduras,7.67,7.67,7.58,7.75,7.67,7.67,10.0,10.0,10.0,11.1,0,2.0,pale yellow,1,1
Taiwan,7.58,7.67,7.5,7.75,7.75,7.67,10.0,10.0,10.0,8.4,0,0.0,green,0,1
Taiwan,7.58,7.75,7.58,7.75,7.58,7.67,10.0,10.0,10.0,9.1,0,0.0,green,0,1
Guatemala,7.58,7.83,7.58,7.67,7.58,7.58,10.0,10.0,10.0,10.9,0,2.0,green,4,1
Honduras,7.75,7.67,7.58,7.58,7.58,7.67,10.0,10.0,10.0,11.2,0,1.0,green,5,1
Colombia,7.75,7.75,7.5,7.58,7.83,7.5,10.0,10.0,10.0,12.2,0,0.0,bluish-green,2,1
Thailand,7.42,7.83,7.58,7.67,7.67,7.75,10.0,10.0,10.0,13.1,0,0.0,green,0,1
Ethiopia,7.42,7.42,7.42,8.0,7.92,7.67,10.0,10.0,10.0,10.4,0,1.0,greenish,11,1
Thailand,7.67,7.67,7.5,7.67,7.58,7.67,10.0,10.0,10.0,11.6,0,2.0,green,0,1
Uganda,7.75,7.75,7.5,7.5,7.58,7.58,10.0,10.0,10.0,10.1,0,0.0,green,3,1
Taiwan,7.75,7.92,7.67,7.92,7.75,7.83,8.67,10.0,10.0,10.1,0,0.0,blue-green,0,1
Uganda,7.75,7.67,7.58,7.5,7.67,7.5,10.0,10.0,10.0,11.1,0,0.0,green,5,1
Taiwan,7.58,7.67,7.5,7.75,7.5,7.58,10.0,10.0,10.0,9.7,0,0.0,greenish,0,1
Guatemala,7.5,7.75,7.58,7.75,7.67,7.58,10.0,10.0,10.0,11.4,0,0.0,green,0,1
Taiwan,7.58,7.67,7.58,7.75,7.42,7.58,10.0,10.0,10.0,9.6,0,0.0,green,1,1
Colombia,7.67,7.67,7.42,7.75,7.5,7.75,10.0,10.0,10.0,13.5,0,0.0,greenish,0,1
Costa Rica,7.58,7.75,7.42,7.67,7.5,7.75,10.0,10.0,10.0,0.0,0,0.0,green,3,1
Taiwan,7.75,7.83,7.58,7.58,7.58,7.5,10.0,10.0,10.0,10.7,0,0.0,blue-green,1,1
Thailand,7.92,7.92,7.75,7.33,7.58,7.5,10.0,10.0,10.0,12.3,0,0.0,yellow-green,16,1
"Tanzania, United Republic Of",7.92,7.67,7.42,7.5,7.67,7.58,10.0,10.0,10.0,10.4,0,0.0,greenish,8,1
Brazil,7.58,7.5,7.5,7.83,7.67,7.5,10.0,10.0,10.0,11.6,0,0.0,green,4,1
Taiwan,7.75,7.75,7.58,7.67,7.42,7.5,10.0,10.0,10.0,9.6,0,0.0,green,1,1
Colombia,7.67,7.67,7.58,7.67,7.58,7.58,10.0,10.0,10.0,10.9,0,0.0,brownish,2,1
Honduras,7.67,7.75,7.67,7.58,7.5,7.58,10.0,10.0,10.0,10.5,0,0.0,bluish-green,3,1
Honduras,7.75,7.58,7.58,7.58,7.5,7.58,10.0,10.0,10.0,11.3,0,1.0,green,5,1
Taiwan,7.75,7.75,7.5,7.75,7.5,7.42,10.0,10.0,10.0,9.7,0,0.0,greenish,2,1
Taiwan,7.67,7.67,7.5,7.58,7.58,7.5,10.0,10.0,10.0,11.8,0,0.0,blue-green,0,1
Laos,7.67,7.75,7.33,7.67,7.58,7.5,10.0,10.0,10.0,11.8,0,0.0,brownish,7,1
Honduras,7.67,7.67,7.5,7.58,7.58,7.5,10.0,10.0,10.0,10.6,0,2.0,green,7,1
Honduras,7.75,7.58,7.58,7.58,7.58,7.5,10.0,10.0,10.0,9.6,0,0.0,green,2,1
Colombia,8.0,7.67,7.42,7.58,7.58,7.42,10.0,10.0,10.0,13.1,0,0.0,bluish-green,1,1
Taiwan,7.5,7.67,7.58,7.58,7.5,7.5,10.0,10.0,10.0,8.9,0,0.0,blue-green,0,1
Mexico,7.75,7.5,7.42,7.67,7.58,7.5,10.0,10.0,10.0,11.9,2,0.0,green,1,1
Colombia,7.58,7.5,7.5,7.67,7.58,7.5,10.0,10.0,10.0,11.5,0,1.0,greenish,3,1
Taiwan,7.67,7.5,7.42,7.75,7.42,7.58,10.0,10.0,10.0,10.2,0,0.0,yellow-green,0,1
Honduras,7.67,7.58,7.5,7.5,7.58,7.5,10.0,10.0,10.0,10.0,0,0.0,green,4,1
Thailand,7.17,7.92,7.58,7.5,7.58,7.67,10.0,10.0,10.0,11.8,0,0.0,yellow-green,5,1
Vietnam,7.58,7.42,7.58,7.5,7.67,7.75,10.0,10.0,10.0,13.3,0,0.0,green,4,1
Nicaragua,7.33,7.58,7.25,7.33,7.75,8.17,10.0,10.0,10.0,10.5,5,2.0,green,1,1
Costa Rica,7.33,7.5,7.25,7.92,7.75,7.58,10.0,10.0,10.0,11.8,0,0.0,pale yellow,1,1
Colombia,7.58,7.67,7.58,7.5,7.33,7.5,10.0,10.0,10.0,11.8,0,1.0,green,2,1
Thailand,7.33,7.58,7.58,7.5,7.67,7.67,10.0,10.0,10.0,13.0,1,0.0,greenish,0,1
Thailand,7.5,7.58,7.5,7.42,7.5,7.58,10.0,10.0,10.0,11.2,0,0.0,yellow green,0,1
Honduras,7.67,7.58,7.33,7.5,7.58,7.5,10.0,10.0,10.0,9.6,0,0.0,green,2,1
Taiwan,7.67,7.67,7.42,7.42,7.42,7.5,10.0,10.0,10.0,9.8,0,0.0,green,0,1
Taiwan,7.67,7.58,7.42,7.42,7.5,7.5,10.0,10.0,10.0,8.4,0,0.0,blue-green,2,1
Nicaragua,7.5,7.58,7.42,7.58,7.5,7.58,10.0,10.0,10.0,10.1,0,0.0,green,0,1
El Salvador,7.67,7.33,7.17,7.67,7.83,7.5,10.0,10.0,10.0,11.3,0,0.0,green,2,1
Panama,7.75,7.67,7.17,7.67,7.42,7.42,10.0,10.0,10.0,10.0,0,0.0,green,0,1
Brazil,7.5,7.58,7.5,7.5,7.67,7.42,10.0,10.0,10.0,11.8,0,1.0,bluish-green,1,1
United States (Hawaii),7.33,7.58,7.5,7.5,7.5,7.58,10.0,10.0,10.0,11.7,0,0.0,blue-green,1,1
Mexico,7.67,7.42,7.5,7.5,7.67,7.42,10.0,10.0,10.0,10.7,0,0.0,pale yellow,0,1
Honduras,7.58,7.58,7.33,7.5,7.58,7.42,10.0,10.0,10.0,10.6,0,0.0,green,8,1
Taiwan,7.42,7.42,7.58,7.42,7.58,7.5,10.0,10.0,10.0,8.4,0,0.0,green,2,1
Nicaragua,7.58,7.58,7.42,7.42,7.5,7.5,10.0,10.0,10.0,11.4,0,0.0,bluish-green,0,0
Vietnam,7.5,7.5,7.33,7.5,7.5,7.42,10.0,10.0,10.0,10.5,0,0.0,bluish-green,0,0
El Salvador,7.5,7.5,7.42,7.42,7.42,7.67,10.0,10.0,10.0,12.0,0,7.0,green,10,0
El Salvador,7.33,7.67,7.25,7.67,7.83,7.42,10.0,10.0,10.0,11.8,0,0.0,bluish-green,0,0
Taiwan,7.67,7.58,7.42,7.5,7.33,7.42,10.0,10.0,10.0,10.8,0,0.0,green,1,0
Peru,7.67,7.5,7.33,7.58,7.33,7.42,10.0,10.0,10.0,11.7,0,1.0,greenish,3,0
United States (Hawaii),7.75,7.42,7.33,7.5,7.33,7.5,10.0,10.0,10.0,10.6,1,0.0,green,5,0
Kenya,7.5,7.5,7.42,7.5,7.25,7.5,10.0,10.0,10.0,11.2,0,0.0,green,2,0
Honduras,7.67,7.5,7.25,7.5,7.5,7.33,10.0,10.0,10.0,10.6,0,0.0,green,8,0
Taiwan,7.5,7.67,7.33,7.5,7.25,7.33,10.0,10.0,10.0,9.7,0,0.0,bluish-green,0,0
Taiwan,7.33,7.42,7.42,7.5,7.42,7.5,10.0,10.0,10.0,8.1,0,0.0,greenish,3,0
Taiwan,7.5,7.58,7.42,7.42,7.25,7.42,10.0,10.0,10.0,8.2,0,0.0,green,1,0
Thailand,7.17,7.5,7.42,7.42,7.58,7.5,10.0,10.0,10.0,9.8,0,0.0,green,0,0
Costa Rica,7.42,7.42,7.42,7.33,7.58,7.33,10.0,10.0,10.0,10.5,1,2.0,green,8,0
Guatemala,7.42,7.42,7.42,7.33,7.5,7.42,10.0,10.0,10.0,11.5,0,1.0,blue-green,2,0
Indonesia,7.67,7.33,7.25,7.67,7.42,7.25,10.0,10.0,10.0,12.5,0,0.0,bluish-green,0,0
Peru,7.5,7.5,7.33,7.5,7.33,7.33,10.0,10.0,10.0,11.6,0,2.0,greenish,2,0
Guatemala,7.33,7.42,7.33,7.42,7.58,7.42,10.0,10.0,10.0,10.3,0,0.0,greenish,1,0
Taiwan,7.25,7.42,7.42,7.5,7.42,7.42,10.0,10.0,10.0,11.3,0,0.0,green,0,0
Vietnam,7.5,7.5,7.25,7.42,7.42,7.42,10.0,10.0,10.0,11.2,0,0.0,green,4,0
Brazil,7.5,7.5,7.42,7.33,7.33,7.33,10.0,10.0,10.0,11.3,0,0.0,pale yellow,2,0
Brazil,7.42,7.5,7.58,7.33,7.33,7.25,10.0,10.0,10.0,11.1,0,0.0,yellow-green,0,0
Colombia,7.33,7.5,7.33,7.42,7.42,7.42,10.0,10.0,10.0,11.2,0,0.0,yellow-green,0,0
Mexico,7.58,7.42,7.25,7.25,7.5,7.33,10.0,10.0,10.0,11.8,2,0.0,green,2,0
Costa Rica,7.33,7.42,7.25,7.42,7.42,7.33,10.0,10.0,10.0,9.7,0,2.0,green,4,0
Taiwan,7.42,7.5,7.33,7.33,7.33,7.33,10.0,10.0,10.0,9.0,0,0.0,yellow-green,0,0
Taiwan,7.33,7.5,7.42,7.33,7.33,7.25,10.0,10.0,10.0,8.5,0,0.0,green,0,0
Thailand,7.33,7.42,7.25,7.33,7.5,7.42,10.0,10.0,10.0,11.6,2,0.0,green,1,0
Thailand,7.42,7.25,7.33,7.42,7.33,7.33,10.0,10.0,10.0,10.5,0,0.0,yellowish,5,0
Thailand,7.25,7.25,7.42,7.25,7.42,7.42,10.0,10.0,10.0,10.4,0,0.0,green,0,0
Colombia,7.42,7.25,7.25,7.42,7.17,7.33,10.0,10.0,10.0,11.4,0,2.0,greenish,2,0
Brazil,7.42,7.42,7.25,7.25,7.17,7.25,10.0,10.0,10.0,10.6,0,2.0,greenish,1,0
El Salvador,7.42,7.33,7.33,7.5,7.08,7.0,10.0,10.0,10.0,10.5,0,8.0,bluish-green,7,0
Nicaragua,7.25,7.25,7.17,7.33,7.08,7.25,10.0,10.0,10.0,11.5,0,1.0,greenish,3,0
Nicaragua,7.42,7.17,7.0,7.08,7.42,7.17,10.0,10.0,10.0,11.2,0,0.0,green,5,0
Colombia,7.25,7.25,7.17,7.33,7.0,7.17,10.0,10.0,10.0,11.0,0,3.0,greenish,3,0
Peru,7.5,7.25,7.17,7.17,7.17,7.08,10.0,10.0,10.0,11.8,0,6.0,greenish,11,0
El Salvador,7.08,7.25,7.08,7.42,7.42,7.08,10.0,10.0,10.0,11.5,0,10.0,bluish-green,7,0
Brazil,7.25,7.17,7.17,7.08,7.17,7.17,10.0,10.0,10.0,11.6,0,1.0,greenish,2,0
Brazil,7.17,7.17,6.92,7.17,7.42,7.17,10.0,10.0,10.0,11.4,0,0.0,green,4,0
Nicaragua,7.33,7.08,6.75,7.17,7.42,7.17,10.0,10.0,10.0,10.4,0,2.0,green,12,0
Laos,7.25,7.17,7.08,7.0,7.08,7.08,10.0,10.0,10.0,11.6,0,9.0,green,11,0
El Salvador,6.5,6.75,6.75,7.17,7.08,7.0,10.0,10.0,10.0,11.0,0,12.0,bluish-green,13,0
Brazil,7.25,7.08,6.67,6.83,6.83,6.67,10.0,10.0,10.0,11.3,0,0.0,green,1,0
Ethiopia,8.67,8.83,8.67,8.75,8.5,8.42,10.0,10.0,10.0,0.12,0,0.0,Green,0,1
Ethiopia,8.75,8.67,8.5,8.58,8.42,8.42,10.0,10.0,10.0,0.12,0,0.0,Green,1,1
Guatemala,8.42,8.5,8.42,8.42,8.33,8.42,10.0,10.0,10.0,0.0,0,0.0,,0,1
Ethiopia,8.17,8.58,8.42,8.42,8.5,8.25,10.0,10.0,10.0,0.11,0,0.0,Green,2,1
Ethiopia,8.25,8.5,8.25,8.5,8.42,8.33,10.0,10.0,10.0,0.12,0,0.0,Green,2,1
Brazil,8.58,8.42,8.42,8.5,8.25,8.33,10.0,10.0,10.0,0.11,0,0.0,Bluish-Green,1,1
Peru,8.42,8.5,8.33,8.5,8.25,8.25,10.0,10.0,10.0,0.11,0,0.0,Bluish-Green,0,1
Ethiopia,8.25,8.33,8.5,8.42,8.33,8.5,10.0,10.0,9.33,0.03,0,0.0,,0,1
Ethiopia,8.67,8.67,8.58,8.42,8.33,8.42,9.33,10.0,9.33,0.03,0,0.0,,0,1
Ethiopia,8.08,8.58,8.5,8.5,7.67,8.42,10.0,10.0,10.0,0.1,0,0.0,Green,4,1
Ethiopia,8.17,8.67,8.25,8.5,7.75,8.17,10.0,10.0,10.0,0.1,0,0.0,,1,1
United States,8.25,8.42,8.17,8.33,8.08,8.17,10.0,10.0,10.0,0.0,0,0.0,,0,1
United States,8.08,8.67,8.33,8.42,8.0,8.08,10.0,10.0,10.0,0.0,0,0.0,,0,1
United States (Hawaii),8.33,8.42,8.08,8.25,8.25,8.0,10.0,10.0,10.0,0.0,0,0.0,,2,1
Ethiopia,8.25,8.33,8.5,8.25,8.58,8.75,9.33,10.0,9.33,0.05,0,0.0,,2,1
United States,8.0,8.5,8.58,8.17,8.17,8.0,10.0,10.0,10.0,0.0,0,0.0,,0,1
Indonesia,8.33,8.25,7.83,7.75,8.5,8.42,10.0,10.0,10.0,0.03,0,0.0,,0,1
Ethiopia,8.17,8.33,8.25,8.33,8.42,8.33,9.33,10.0,9.33,0.05,0,0.0,,2,1
China,8.42,8.25,8.08,8.17,7.92,8.0,10.0,10.0,10.0,0.1,0,0.0,Green,0,1
Ethiopia,8.17,8.17,8.0,8.17,8.08,8.33,10.0,10.0,10.0,0.0,0,0.0,,8,1
United States,8.0,8.25,8.08,8.5,8.25,8.0,10.0,10.0,10.0,0.0,0,0.0,,0,1
Costa Rica,8.08,8.25,8.0,8.17,8.0,8.33,10.0,10.0,10.0,0.11,0,0.0,Green,2,1
Mexico,8.17,8.25,8.17,8.0,7.83,8.17,10.0,10.0,10.0,0.13,0,0.0,Green,0,1
United States,8.25,8.33,8.17,8.17,7.83,8.17,10.0,10.0,10.0,0.0,0,0.0,,0,1
Ethiopia,8.42,8.17,7.92,8.17,8.33,8.0,10.0,10.0,10.0,0.11,0,0.0,Bluish-Green,1,1
