Country of Origin,Altitude,Harvest Year,Variety,Processing Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean Cup,Sweetness,Category One Defects,Color,Category Two Defects,Specialty
Panama,1200,2022 / 2023,Catuai,Washed / Wet,7.83,7.83,7.75,7.92,7.83,7.75,10.0,10.0,10.0,0,bluish-green,5,Specialty
Taiwan,1200,2021 / 2022,Yellow Bourbon,Pulped natural / honey,7.92,8.08,7.67,7.92,7.67,7.75,10.0,10.0,10.0,0,blue-green,0,Specialty
Guatemala,1600,2022 / 2023,Caturra,Washed / Wet,7.67,8.0,7.67,7.83,7.92,7.67,10.0,10.0,10.0,0,green,1,Specialty
Guatemala,4895,2021 / 2022,Bourbon,Natural / Dry,7.83,8.0,7.67,7.83,7.75,7.75,10.0,10.0,10.0,0,yellow-green,2,Specialty
Costa Rica,1850,2022 / 2023,Caturra,Washed / Wet,7.58,7.83,7.5,7.67,7.83,7.67,10.0,10.0,10.0,0,green,2,Specialty
Taiwan,200-300,2021 / 2022,Typica,Pulped natural / honey,7.83,7.83,7.75,7.75,7.75,7.75,10.0,10.0,10.0,0,greenish,0,Specialty
Taiwan,700,2022,Gesha,Pulped natural / honey,8.17,7.83,7.67,7.83,7.67,7.67,10.0,10.0,10.0,0,green,0,Specialty
Nicaragua,1350,2021 / 2022,Catrenic,Natural / Dry,7.92,7.75,7.67,7.67,7.83,7.75,10.0,10.0,10.0,1,green,2,Specialty
Taiwan,1250,2021 / 2022,Gesha,Washed / Wet,8.08,7.83,7.67,7.67,7.67,7.75,10.0,10.0,10.0,0,green,2,Specialty
Taiwan,1450,2021 / 2022,SL34,Natural / Dry,7.83,8.0,7.67,7.75,7.67,7.75,10.0,10.0,10.0,0,green,0,Specialty
Vietnam,650,2021 / 2022,Catimor,Natural / Dry,8.0,7.83,7.75,7.67,7.58,7.83,10.0,10.0,10.0,0,brownish,0,Specialty
Costa Rica,1900,2022,Gesha,Washed / Wet,7.75,7.83,7.67,7.83,7.75,7.75,10.0,10.0,10.0,0,green,0,Specialty
Taiwan,520,2021 / 2022,unknown,Pulped natural / honey,7.75,7.92,7.83,7.75,7.75,7.75,10.0,10.0,10.0,0,bluish-green,0,Specialty
Honduras,1368,2022 / 2023,Catuai,Washed / Wet,7.83,7.92,7.75,7.75,7.75,7.75,10.0,10.0,10.0,0,green,3,Specialty
Ethiopia,1943,2021 / 2022,Ethiopian Heirlooms,Washed / Wet,7.92,7.83,7.75,7.92,7.58,7.67,10.0,10.0,10.0,0,green,9,Specialty
Taiwan,400,2021 / 2022,Typica,Natural / Dry,8.08,7.92,7.75,7.83,7.5,7.58,10.0,10.0,10.0,0,green,0,Specialty
Taiwan,850,2021 / 2022,Gesha,Washed / Wet,7.83,8.0,7.5,7.75,7.75,7.75,10.0,10.0,10.0,0,bluish-green,1,Specialty
Guatemala,1300-1400,2022 / 2023,Bourbon,Washed / Wet,7.67,7.83,7.75,7.75,7.83,7.75,10.0,10.0,10.0,0,green,5,Specialty
United States (Hawaii),1300,2022,Catuai,Washed / Wet,7.92,7.83,7.75,7.92,7.5,7.67,10.0,10.0,10.0,3,yellow-green,7,Specialty
Ethiopia,2361,2021 / 2022,Ethiopian Heirlooms,Natural / Dry,7.83,7.75,7.58,7.92,8.0,7.5,10.0,10.0,10.0,0,yellow green,4,Specialty
El Salvador,1500,2021,Pacamara,Pulped natural / honey,7.83,7.83,7.83,7.83,7.67,7.67,10.0,10.0,10.0,0,brownish,4,Specialty
Colombia,2100,2021 / 2022,Castillo and Colombia blend,Washed / Wet,7.75,7.75,7.75,7.75,7.83,7.67,10.0,10.0,10.0,0,green,1,Specialty
Indonesia,1250-1350,2022,"Jember,TIM-TIM,Ateng",Wet Hulling,7.67,7.67,7.83,7.83,7.67,7.75,10.0,10.0,10.0,0,blue-green,1,Specialty
Guatemala,1600,2022 / 2023,Typica,Washed / Wet,7.58,7.92,7.67,7.75,7.83,7.75,10.0,10.0,10.0,0,green,1,Specialty
Madagascar,1500,2022,Bourbon,Washed / Wet,7.92,7.92,7.58,7.75,7.58,7.67,10.0,10.0,10.0,0,blue-green,0,Specialty
Honduras,1368,2022 / 2023,Catuai,Washed / Wet,7.75,7.75,7.58,7.83,7.75,7.75,10.0,10.0,10.0,0,green,2,Specialty
Guatemala,1600,2021 / 2022,Caturra,Washed / Wet,7.58,7.92,7.58,7.83,7.75,7.67,10.0,10.0,10.0,0,green,2,Specialty
Taiwan,150,2021 / 2022,unknown,Pulped natural / honey,7.83,7.92,7.83,7.58,7.58,7.67,10.0,10.0,10.0,0,greenish,2,Specialty
Taiwan,800,2021 / 2022,Gesha,Natural / Dry,7.92,7.75,7.67,7.75,7.75,8.0,9.33,10.0,10.0,0,yello-green,0,Specialty
Guatemala,1500-1600,2022 / 2023,Caturra,Washed / Wet,7.67,7.83,7.67,7.83,7.75,7.67,10.0,10.0,10.0,0,green,2,Specialty
Guatemala,1500-1600,2022 / 2023,Caturra,Washed / Wet,7.67,7.92,7.67,7.75,7.67,7.58,10.0,10.0,10.0,0,green,2,Specialty
Honduras,1800,2021 / 2022,Typica,Pulped natural / honey,7.75,7.75,7.75,7.67,7.75,7.67,10.0,10.0,10.0,0,green,0,Specialty
"Tanzania, United Republic Of",1600-1750,2022 / 2023,Bourbon,Washed / Wet,7.58,7.67,7.75,7.75,7.75,7.75,10.0,10.0,10.0,0,greenish,3,Specialty
Ethiopia,1800,2021 / 2022,Ethiopian Heirlooms,Washed / Wet,8.0,7.75,7.5,7.67,7.67,7.67,10.0,10.0,10.0,1,green,1,Specialty
"Tanzania, United Republic Of",1400-1700,2022 / 2023,Bourbon,Washed / Wet,7.75,7.58,7.58,7.92,7.67,7.75,10.0,10.0,10.0,0,greenish,2,Specialty
Colombia,1400-1700,2022,Caturra,Washed / Wet,7.67,7.83,7.58,7.92,7.67,7.67,10.0,10.0,10.0,0,green,3,Specialty
Costa Rica,1850,2022 / 2023,Caturra,Washed / Wet,7.67,7.92,7.58,7.75,7.67,7.58,10.0,10.0,10.0,0,green,2,Specialty
Guatemala,1900,2021,Gesha,Natural / Dry,7.83,7.83,7.58,7.67,7.67,7.58,10.0,10.0,10.0,0,greenish,0,Specialty
Guatemala,1600,2022 / 2023,Bourbon,Washed / Wet,7.58,7.83,7.58,7.75,7.67,7.75,10.0,10.0,10.0,0,green,2,Specialty
Thailand,1300-1400,2022,Catimor,Natural / Dry,7.75,7.67,7.58,7.75,7.75,7.67,10.0,10.0,10.0,0,yellowish,3,Specialty
Colombia,1411,2022 / 2023,,Washed / Wet,7.67,7.75,7.67,7.75,7.67,7.67,10.0,10.0,10.0,0,green,1,Specialty
Guatemala,1400,2021 / 2022,"BOURBON, CATURRA Y CATIMOR",Natural / Dry,7.58,7.83,7.67,7.67,7.67,7.67,10.0,10.0,10.0,0,green,4,Specialty
Guatemala,4895 A 5650,2021 / 2022,Bourbon,Washed / Wet,7.58,7.92,7.5,7.67,7.75,7.67,10.0,10.0,10.0,0,greenish,4,Specialty
Ethiopia,2000,2021 / 2022,Ethiopian Heirlooms,Washed / Wet,7.83,7.67,7.5,7.92,7.5,7.67,10.0,10.0,10.0,0,green,12,Specialty
Colombia,1700,2022 / 2023,Caturra,Washed / Wet,7.92,7.75,7.42,7.58,7.92,7.67,10.0,10.0,10.0,2,green,5,Specialty
United States (Hawaii),400-600,2022,Typica,Washed / Wet,7.67,7.92,7.58,7.58,7.58,7.75,10.0,10.0,10.0,0,green,3,Specialty
Colombia,1800,2022,Bourbon Sidra,Pulped natural / honey,7.67,7.92,7.67,7.58,7.67,7.67,10.0,10.0,10.0,0,greenish,1,Specialty
Mexico,1200,2022 / 2023,Sarchimor,Washed / Wet,7.67,7.67,7.58,7.67,7.83,7.58,10.0,10.0,10.0,4,green,12,Specialty
Colombia,,2022,,,7.83,7.75,7.5,7.58,7.67,7.67,10.0,10.0,10.0,1,greenish,9,Specialty
Taiwan,1250,2022,SL34,Washed / Wet,7.67,7.67,7.75,7.75,7.5,7.67,10.0,10.0,10.0,0,bluish-green,0,Specialty
Myanmar,1400,2022,"Catimor,Catuai,Caturra,Bourbon",Natural / Dry,7.83,7.83,7.67,7.58,7.58,7.58,10.0,10.0,10.0,0,pale yellow,1,Specialty
Taiwan,200-400,2021 / 2022,unknown,Pulped natural / honey,7.58,7.75,7.67,7.83,7.5,7.67,10.0,10.0,10.0,0,greenish,0,Specialty
Honduras,1470,2021,Parainema,Natural / Dry,7.67,7.67,7.58,7.75,7.67,7.67,10.0,10.0,10.0,0,pale yellow,1,Specialty
Taiwan,250-400,2021 / 2022,unknown,Natural / Dry,7.58,7.67,7.5,7.75,7.75,7.67,10.0,10.0,10.0,0,green,0,Specialty
Taiwan,250-300,2021 / 2022,Typica,Pulped natural / honey,7.58,7.75,7.58,7.75,7.58,7.67,10.0,10.0,10.0,0,green,0,Specialty
Guatemala,1600,2021 / 2022,Caturra,Washed / Wet,7.58,7.83,7.58,7.67,7.58,7.58,10.0,10.0,10.0,0,green,4,Specialty
Honduras,1400,2021 / 2022,SHG,Washed / Wet,7.75,7.67,7.58,7.58,7.58,7.67,10.0,10.0,10.0,0,green,5,Specialty
Colombia,1700,2022,Caturra,Washed / Wet,7.75,7.75,7.5,7.58,7.83,7.5,10.0,10.0,10.0,0,bluish-green,2,Specialty
Thailand,1200 - 1580,2022,Bourbon,Washed / Wet,7.42,7.83,7.58,7.67,7.67,7.75,10.0,10.0,10.0,0,green,0,Specialty
Ethiopia,1700,2021 / 2022,Ethiopian Heirlooms,Washed / Wet,7.42,7.42,7.42,8.0,7.92,7.67,10.0,10.0,10.0,0,greenish,11,Specialty
Thailand,1450,2022,Java,Washed / Wet,7.67,7.67,7.5,7.67,7.58,7.67,10.0,10.0,10.0,0,green,0,Specialty
Uganda,1400 - 1900,2021 / 2022,SL14,Washed / Wet,7.75,7.75,7.5,7.5,7.58,7.58,10.0,10.0,10.0,0,green,3,Specialty
Taiwan,1100,2021 / 2022,Typica + SL34,Washed / Wet,7.75,7.92,7.67,7.92,7.75,7.83,8.67,10.0,10.0,0,blue-green,0,Specialty
Uganda,1905,2021 / 2022,SL14,Washed / Wet,7.75,7.67,7.58,7.5,7.67,7.5,10.0,10.0,10.0,0,green,5,Specialty
Taiwan,200-300,2021 / 2022,Typica,Pulped natural / honey,7.58,7.67,7.5,7.75,7.5,7.58,10.0,10.0,10.0,0,greenish,0,Specialty
Guatemala,1280-1325,2021,"MARSELLESA, CATUAI, CATURRA & MARSELLESA, ANACAFE 14, CATUAI",Washed / Wet,7.5,7.75,7.58,7.75,7.67,7.58,10.0,10.0,10.0,0,green,0,Specialty
Taiwan,300,2021 / 2022,Typica,Washed / Wet,7.58,7.67,7.58,7.75,7.42,7.58,10.0,10.0,10.0,0,green,1,Specialty
Colombia,1100,2021 / 2022,Caturra,Washed / Wet,7.67,7.67,7.42,7.75,7.5,7.75,10.0,10.0,10.0,0,greenish,0,Specialty
Costa Rica,1850,2022 / 2023,Caturra,Washed / Wet,7.58,7.75,7.42,7.67,7.5,7.75,10.0,10.0,10.0,0,green,3,Specialty
Taiwan,750,2021 / 2022,SL34,Washed / Wet,7.75,7.83,7.58,7.58,7.58,7.5,10.0,10.0,10.0,0,blue-green,1,Specialty
Thailand,1300-1500,2022,Typica,Washed / Wet,7.92,7.92,7.75,7.33,7.58,7.5,10.0,10.0,10.0,0,yellow-green,16,Specialty
"Tanzania, United Republic Of",1400-1700,2022 / 2023,Bourbon,Washed / Wet,7.92,7.67,7.42,7.5,7.67,7.58,10.0,10.0,10.0,0,greenish,8,Specialty
Brazil,950,2022 / 2023,Mundo Novo,Natural / Dry,7.58,7.5,7.5,7.83,7.67,7.5,10.0,10.0,10.0,0,green,4,Specialty
Taiwan,1100-1200,2021 / 2022,unknown,Washed / Wet,7.75,7.75,7.58,7.67,7.42,7.5,10.0,10.0,10.0,0,green,1,Specialty
Colombia,1390,2022,"Red Bourbon,Caturra",Anaerobico 1000h,7.67,7.67,7.58,7.67,7.58,7.58,10.0,10.0,10.0,0,brownish,2,Specialty
Honduras,1600,2021,Lempira,Washed / Wet,7.67,7.75,7.67,7.58,7.5,7.58,10.0,10.0,10.0,0,bluish-green,3,Specialty
Honduras,1400,2021 / 2022,Catuai,Washed / Wet,7.75,7.58,7.58,7.58,7.5,7.58,10.0,10.0,10.0,0,green,5,Specialty
Taiwan,200-300,2021 / 2022,Typica,Natural / Dry,7.75,7.75,7.5,7.75,7.5,7.42,10.0,10.0,10.0,0,greenish,2,Specialty
Taiwan,340,2021 / 2022,unknown,Washed / Wet,7.67,7.67,7.5,7.58,7.58,7.5,10.0,10.0,10.0,0,blue-green,0,Specialty
Laos,1200 - 1300,2022,Catimor,Natural / Dry,7.67,7.75,7.33,7.67,7.58,7.5,10.0,10.0,10.0,0,brownish,7,Specialty
Honduras,1368,2021 / 2022,Catuai,Washed / Wet,7.67,7.67,7.5,7.58,7.58,7.5,10.0,10.0,10.0,0,green,7,Specialty
Honduras,1450,2022 / 2023,Catuai,Washed / Wet,7.75,7.58,7.58,7.58,7.58,7.5,10.0,10.0,10.0,0,green,2,Specialty
Colombia,1650,2022 / 2023,Caturra,Washed / Wet,8.0,7.67,7.42,7.58,7.58,7.42,10.0,10.0,10.0,0,bluish-green,1,Specialty
Taiwan,250-300,2021 / 2022,Typica,Pulped natural / honey,7.5,7.67,7.58,7.58,7.5,7.5,10.0,10.0,10.0,0,blue-green,0,Specialty
Mexico,1350,2021 / 2022,Bourbon,Washed / Wet,7.75,7.5,7.42,7.67,7.58,7.5,10.0,10.0,10.0,2,green,1,Specialty
Colombia,1350,2021 / 2022,Typica Gesha,Washed / Wet,7.58,7.5,7.5,7.67,7.58,7.5,10.0,10.0,10.0,0,greenish,3,Specialty
Taiwan,1200,2022,Gesha,,7.67,7.5,7.42,7.75,7.42,7.58,10.0,10.0,10.0,0,yellow-green,0,Specialty
Honduras,1280,2022 / 2023,Catuai,Washed / Wet,7.67,7.58,7.5,7.5,7.58,7.5,10.0,10.0,10.0,0,green,4,Specialty
Thailand,1300-1500,2022,Gayo,Washed / Wet,7.17,7.92,7.58,7.5,7.58,7.67,10.0,10.0,10.0,0,yellow-green,5,Specialty
Vietnam,900,2021 / 2022,Catimor,Pulped natural / honey,7.58,7.42,7.58,7.5,7.67,7.75,10.0,10.0,10.0,0,green,4,Specialty
Nicaragua,1200,2022 / 2023,SHG,Natural / Dry,7.33,7.58,7.25,7.33,7.75,8.17,10.0,10.0,10.0,5,green,1,Specialty
Costa Rica,1450,2021,SL28,Pulped natural / honey,7.33,7.5,7.25,7.92,7.75,7.58,10.0,10.0,10.0,0,pale yellow,1,Specialty
Colombia,1700,2022,Caturra,Washed / Wet,7.58,7.67,7.58,7.5,7.33,7.5,10.0,10.0,10.0,0,green,2,Specialty
Thailand,1200 - 1580,2022,Caturra,Washed / Wet,7.33,7.58,7.58,7.5,7.67,7.67,10.0,10.0,10.0,1,greenish,0,Specialty
Thailand,1200,2021 / 2022,"Bourbon, Catimor, Caturra, Typica",Natural / Dry,7.5,7.58,7.5,7.42,7.5,7.58,10.0,10.0,10.0,0,yellow green,0,Specialty
Honduras,1450,2022 / 2023,Catuai,Washed / Wet,7.67,7.58,7.33,7.5,7.58,7.5,10.0,10.0,10.0,0,green,2,Specialty
Taiwan,165,2021 / 2022,unknow,Natural / Dry,7.67,7.67,7.42,7.42,7.42,7.5,10.0,10.0,10.0,0,green,0,Specialty
Taiwan,465,2021 / 2022,Caturra,Washed / Wet,7.67,7.58,7.42,7.42,7.5,7.5,10.0,10.0,10.0,0,blue-green,2,Specialty
Nicaragua,1350,2021 / 2022,Parainema,Washed / Wet,7.5,7.58,7.42,7.58,7.5,7.58,10.0,10.0,10.0,0,green,0,Specialty
El Salvador,1200,2022 / 2023,Bourbon,Washed / Wet,7.67,7.33,7.17,7.67,7.83,7.5,10.0,10.0,10.0,0,green,2,Specialty
Panama,1200,2021 / 2022,Caturra,Washed / Wet,7.75,7.67,7.17,7.67,7.42,7.42,10.0,10.0,10.0,0,green,0,Specialty
Brazil,1100,2022 / 2023,Mundo Novo,Natural / Dry,7.5,7.58,7.5,7.5,7.67,7.42,10.0,10.0,10.0,0,bluish-green,1,Specialty
United States (Hawaii),640,2022,Maragogype,Washed / Wet,7.33,7.58,7.5,7.5,7.5,7.58,10.0,10.0,10.0,0,blue-green,1,Specialty
Mexico,1340,2021,Pacamara,Washed / Wet,7.67,7.42,7.5,7.5,7.67,7.42,10.0,10.0,10.0,0,pale yellow,0,Specialty
Honduras,1368,2021 / 2022,Catuai,Washed / Wet,7.58,7.58,7.33,7.5,7.58,7.42,10.0,10.0,10.0,0,green,8,Specialty
Taiwan,139,2021 / 2022,unknown,Washed / Wet,7.42,7.42,7.58,7.42,7.58,7.5,10.0,10.0,10.0,0,green,2,Specialty
Nicaragua,1200-1350,2021 / 2022,Caturra-Catuai,Washed / Wet,7.58,7.58,7.42,7.42,7.5,7.5,10.0,10.0,10.0,0,bluish-green,0,No Specialty
Vietnam,1040,2021,Catimor,Washed / Wet,7.5,7.5,7.33,7.5,7.5,7.42,10.0,10.0,10.0,0,bluish-green,0,No Specialty
El Salvador,1200,2022 / 2023,Bourbon,Washed / Wet,7.5,7.5,7.42,7.42,7.42,7.67,10.0,10.0,10.0,0,green,10,No Specialty
El Salvador,1200,2021 / 2022,Bourbon,Washed / Wet,7.33,7.67,7.25,7.67,7.83,7.42,10.0,10.0,10.0,0,bluish-green,0,No Specialty
Taiwan,140,2021 / 2022,unknown,Natural / Dry,7.67,7.58,7.42,7.5,7.33,7.42,10.0,10.0,10.0,0,green,1,No Specialty
Peru,1600,2022 / 2023,Caturra,Washed / Wet,7.67,7.5,7.33,7.58,7.33,7.42,10.0,10.0,10.0,0,greenish,3,No Specialty
United States (Hawaii),1200,2022,Typica,Washed / Wet,7.75,7.42,7.33,7.5,7.33,7.5,10.0,10.0,10.0,1,green,5,No Specialty
Kenya,1500-1950,2022,"SL28,SL34,Ruiru11",Washed / Wet,7.5,7.5,7.42,7.5,7.25,7.5,10.0,10.0,10.0,0,green,2,No Specialty
Honduras,1368,2021 / 2022,Catuai,Washed / Wet,7.67,7.5,7.25,7.5,7.5,7.33,10.0,10.0,10.0,0,green,8,No Specialty
Taiwan,600,2021 / 2022,unknown,Washed / Wet,7.5,7.67,7.33,7.5,7.25,7.33,10.0,10.0,10.0,0,bluish-green,0,No Specialty
Taiwan,460,2021 / 2022,unknown,Pulped natural / honey,7.33,7.42,7.42,7.5,7.42,7.5,10.0,10.0,10.0,0,greenish,3,No Specialty
